Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Lao PDR,LAO,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,8826566009.21005,10544288515.2861,12121969753.595,13339842542.9469,14563895801.7476,15708810505.3244,17553673169.1316,18208815280.6296,18110172891.7362,18650869134.6331,17366641629.5246,16195396090.5167,15527648747.1282
Lesotho,LSO,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,3031281969.74118,2956463929.83973,2758292950.1047,2703479429.18092,2642570109.0076,2495104449.81015,2726915727.38291,2859732890.86724,2626879656.97015,2701606352.47277,2911703582.31805,2898014322.27374,2747624040.87215
Liberia,LBR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2350143710.05248,2746234075.81309,2840183931.89817,2896065016.55462,2918535409.45408,3021886622.08188,3054740443.96743,3030841624.71962,2957176559.32481,3295501371.28284,3646932009.54063,3971757792.06447,4278426549.20295
Madagascar,MDG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,11058407527.505,11853484553.2824,12263559556.0442,11858920629.2789,11659563209.7684,12024286199.9537,13119176017.9036,14003214519.252,12936722127.6834,14071720938.4861,15133024385.6512,15827830199.2822,16429113181.8402
Malawi,MWI,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,10288206804.3523,9492017172.45204,8842541536.01452,8650763173.99395,8632391151.58564,8608398367.85295,9050489009.45867,10365477596.9458,10953967660.2675,12101980462.6341,12617555248.3539,13026158561.2138,12317768635.3942
Maldives,MDV,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2633263400.2513,2820587880.37936,3191555237.55462,3514316834.31304,3867763228.83023,4305938800.43849,4834005699.33869,5231074647.83153,3539178468.99273,4824357527.47142,5541168632.1391,5855583026.89289,6145489776.48969
Mali,MLI,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,14107621173.5772,15356329739.8451,16235920786.7398,16552353280.159,16708434786.804,17010095412.838,19087459747.8326,20311542170.1411,20198379544.9832,21579972610.55,23025624900.0932,24084657520.1321,25178287874.7745
Marshall Islands,MHL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,198506921.94806,220548039.887819,227186207.482395,242923389.457693,241429066.668329,247118117.486457,273671218.081369,297949230.224241,282294714.276979,277869611.464611,303944452.507473,309716987.077223,319050246.678595
Mauritania,MRT,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,6515882182.98639,7071971795.00213,6865449149.05995,6650080314.89398,6300770360.20547,6541197634.89239,7293350467.38862,7685962174.4492,7929207722.84019,8588083492.89428,9790514662.74834,10735929405.8812,10951348826.3316
"Micronesia, Fed. Sts.",FSM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,325444757.475086,332793307.732909,332865881.870075,374267598.924484,369878343.993915,376565207.629893,373614137.63043,447117545.282086,443080177.451336,451087658.873331,454173342.620899,464718654.53969,480221649.992204
Moldova,MDA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,8968494800.46568,10360127535.6851,10656890129.0057,9330369342.68465,8888973952.40413,9103276125.72284,10426312297.5525,11973406929.072,11501635280.3431,13675309063.8871,14011501446.7429,15362665099.2275,16521563318.9616
Mongolia,MNG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,10305289418.4861,12492493729.2599,12389164465.1592,11403259105.8206,10678416260.5219,10075849819.2734,11706074335.3757,12413802372.7333,12271274244.8895,12474522178.2397,14888009092.1644,16956242137.3992,18976224552.7949
